"","Shock","Stress","Sex","Condition","Pre","Post","recall_1","ext1_curve","ext2_curve","ext3_curve","ext4_curve","ext5_curve","extinction_recall","reminder_day1_shock","reminder_day2"
"1","l","ELS","Male","2",8.333333333,50,66.66666667,NA,NA,NA,NA,NA,37.5,NA,NA
"2","l","ELS","Male","2",8.333333333,33.33333333,66.66666667,NA,NA,NA,NA,NA,25,NA,NA
"3","l","NS","Female","2",0,33.33333333,8.333333333,NA,NA,NA,NA,NA,4.166666667,NA,NA
"4","l","NS","Female","2",0,50,0,NA,NA,NA,NA,NA,4.166666667,NA,NA
"5","l","ELS","Female","2",0,100,66.66666667,NA,NA,NA,NA,NA,25,NA,NA
"6","l","ELS","Female","2",0,16.66666667,0,NA,NA,NA,NA,NA,12.5,NA,NA
"7","l","NS","Male","2",0,50,16.66666667,NA,NA,NA,NA,NA,20.83333333,NA,NA
"8","l","NS","Male","2",0,100,0,NA,NA,NA,NA,NA,12.5,NA,NA
"9","l","ELS","Male","2",8.333333333,50,41.66666667,NA,NA,NA,NA,NA,37.5,NA,NA
"10","l","ELS","Male","2",8.333333333,50,33.33333333,NA,NA,NA,NA,NA,20.83333333,NA,NA
"11","l","NS","Male","2",0,66.66666667,83.33333333,NA,NA,NA,NA,NA,66.66666667,NA,NA
"12","l","NS","Male","2",0,83.33333333,8.333333333,NA,NA,NA,NA,NA,12.5,NA,NA
"13","l","ELS","Female","2",8.333333333,16.66666667,25,NA,NA,NA,NA,NA,4.166666667,NA,NA
"14","l","ELS","Female","2",8.333333333,33.33333333,33.33333333,NA,NA,NA,NA,NA,4.166666667,NA,NA
"15","l","NS","Female","2",16.66666667,83.33333333,16.66666667,NA,NA,NA,NA,NA,NA,NA,NA
"16","l","NS","Female","2",0,16.66666667,0,NA,NA,NA,NA,NA,NA,NA,NA
"17","l","ELS","Male","2",0,33.33333333,66.66666667,NA,NA,NA,NA,NA,41.66666667,NA,NA
"18","l","ELS","Male","2",33.33333333,83.33333333,83.33333333,NA,NA,NA,NA,NA,41.66666667,NA,NA
"19","l","NS","Male","2",0,33.33333333,8.333333333,NA,NA,NA,NA,NA,0,NA,NA
"20","l","NS","Male","2",9.090909091,66.66666667,16.66666667,NA,NA,NA,NA,NA,8.333333333,NA,NA
"21","l","NS","Male","2",0,33.33333333,16.66666667,NA,NA,NA,NA,NA,12.5,NA,NA
"22","l","ELS","Female","2",0,33.33333333,33.33333333,NA,NA,NA,NA,NA,8.333333333,NA,NA
"23","l","ELS","Female","2",0,0,8.333333333,NA,NA,NA,NA,NA,0,NA,NA
