,,Litter,animal_no ,Condition,Stress,Sex,Cage no,pre,post,recall_1,ext1_curve,ext2_curve,ext3_curve,ext4_curve,ext5_curve,extinction_recall,
,,a,1,10,NS,M,1,0,83.33333333,41.66666667,41.66666667,8.333333333,16.66666667,0,36.36363636,12.5,
,,a,2,10,NS,M,,0,33.33333333,33.33333333,33.33333333,16.66666667,0,16.66666667,0,20.83333333,
,,a,3,2,ELS,M,2,8.333333333,50,66.66666667,,,,,,37.5,
,,a,4,2,ELS,M,,8.333333333,33.33333333,66.66666667,,,,,,25,
,,a,5,10,ELS,M,3,33.33333333,50,75,75,33.33333333,41.66666667,0,36.36363636,33.33333333,
,,a,6,10,ELS,M,,8.333333333,83.33333333,66.66666667,66.66666667,58.33333333,58.33333333,8.333333333,0,20.83333333,
,,a,7,2,NS,F,4,0,33.33333333,8.333333333,,,,,,4.166666667,
,,a,8,2,NS,F,,0,50,0,,,,,,4.166666667,
,,a,9,2,ELS,F,6,0,100,66.66666667,,,,,,25,
,,a,10,2,ELS,F,,0,16.66666667,0,,,,,,12.5,
,,a,11,10,NS,F,5,0,66.66666667,0,0,0,0,16.66666667,18.18181818,4.166666667,
,,a,12,10,NS,F,,0,16.66666667,0,0,0,0,0,0,4.166666667,
,,a,13,10,NS,F,5b,0,66.66666667,0,0,16.66666667,0,8.333333333,9.090909091,8.333333333,
,,a,15,10,ELS,F,7,0,66.66666667,50,50,41.66666667,8.333333333,16.66666667,9.090909091,8.333333333,
,,a,16,10,ELS,F,,8.333333333,66.66666667,8.333333333,8.333333333,8.333333333,0,0,18.18181818,4.166666667,
,,b,17,2,NS,M,10,0,50,16.66666667,,,,,,20.83333333,
,,b,18,2,NS,M,,0,100,0,,,,,,12.5,
,,b,19,2,ELS,M,8,8.333333333,50,41.66666667,,,,,,37.5,
,,b,20,2,ELS,M,,8.333333333,50,33.33333333,,,,,,20.83333333,
,,b,21,10,NS,M,11,8.333333333,66.66666667,25,25,16.66666667,0,0,0,0,
,,b,22,10,NS,M,,16.66666667,83.33333333,25,25,25,16.66666667,0,9.090909091,12.5,
,,b,23,10,ELS,M,9,0,83.33333333,16.66666667,16.66666667,16.66666667,0,0,9.090909091,20.83333333,
,,b,24,10,ELS,M,,0,33.33333333,41.66666667,41.66666667,16.66666667,25,0,9.090909091,8.333333333,
,,b,25,2,NS,M,12,0,66.66666667,83.33333333,,,,,,66.66666667,
,,b,26,2,NS,M,,0,83.33333333,8.333333333,,,,,,12.5,
,,b,27,2,ELS,F,13,8.333333333,16.66666667,25,,,,,,4.166666667,
,,b,28,2,ELS,F,,8.333333333,33.33333333,33.33333333,,,,,,4.166666667,
,,d,29,2,NS,F,27,16.66666667,83.33333333,16.66666667,,,,,,#DIV/0!,
,,d,30,2,NS,F,,0,16.66666667,0,,,,,,#DIV/0!,
,,c,31,2,ELS,M,15,0,33.33333333,66.66666667,,,,,,41.66666667,
,,c,32,2,ELS,M,,33.33333333,83.33333333,83.33333333,,,,,,41.66666667,
,,b,33,10,NS,F,14,9.090909091,50,25,25,33.33333333,8.333333333,16.66666667,16.66666667,8.333333333,
,,b,34,10,NS,F,,9.090909091,100,58.33333333,58.33333333,16.66666667,25,0,8.333333333,8.333333333,
