Timepoint,figures_sex,Stress,mean_recall,sem_recall
Recall1,Male,ELS,62.25490196,5.394628372
Recall1,Male,NS,45.51282051,8.932288447
Recall1,Female,ELS,45.37786775,5.467505128
Recall1,Female,NS,39.87179487,7.02325432
Ext1,Male,ELS,62.74509804,5.001704505
Ext1,Male,NS,45.51282051,8.932288447
Ext1,Female,ELS,45.37786775,5.467505128
Ext1,Female,NS,39.87179487,7.02325432
Ext2,Male,ELS,56.33484163,5.154322385
Ext2,Male,NS,41.66666667,10.20620726
Ext2,Female,ELS,33.94062078,4.868856104
Ext2,Female,NS,31.66666667,7.976486609
Ext3,Male,ELS,35.55806938,5.430977031
Ext3,Male,NS,37.17948718,8.932288447
Ext3,Female,ELS,26.14709852,4.416753315
Ext3,Female,NS,30,7.48896896
Ext4,Male,ELS,27.75263952,5.005593973
Ext4,Male,NS,30.12820513,7.461824825
Ext4,Female,ELS,30.46558704,6.205411099
Ext4,Female,NS,21.66666667,6.495826906
Ext5,Male,ELS,27.8092006,6.193395869
Ext5,Male,NS,19.75076206,5.264646687
Ext5,Female,ELS,23.90350877,6.239645341
Ext5,Female,NS,19.14529915,5.281539543
ReminderShock,Male,ELS,24.77375566,4.064600483
ReminderShock,Male,NS,23.96449704,8.172646165
ReminderShock,Female,ELS,24.17582417,3.532472806
ReminderShock,Female,NS,14.20118343,4.988227683
Reminder_Recall,Male,ELS,22.95625943,4.575956929
Reminder_Recall,Male,NS,28.71167294,6.098059444
Reminder_Recall,Female,ELS,25.44871795,3.418030164
Reminder_Recall,Female,NS,5.594405594,3.088556098
