Timepoint,figures_sex,Stress,mean_recall,sem_recall
Recall1,Male,ELS,62.25490196,5.394628372
Recall1,Male,NS,45.51282051,8.932288447
Recall1,Female,ELS,45.37786775,5.467505128
Recall1,Female,NS,39.87179487,7.02325432
Ext1,Male,ELS,28.80844646,4.860031403
Ext1,Male,NS,21.54832347,7.275779852
Ext1,Female,ELS,23.81969882,4.828227276
Ext1,Female,NS,16.02564103,4.193699291
ReminderShock,Male,ELS,24.77375566,4.064600483
ReminderShock,Male,NS,23.96449704,8.172646165
ReminderShock,Female,ELS,24.17582417,3.532472806
ReminderShock,Female,NS,14.20118343,4.988227683
Reminder_Recall,Male,ELS,22.95625943,4.575956929
Reminder_Recall,Male,NS,28.71167294,6.098059444
Reminder_Recall,Female,ELS,25.44871795,3.418030164
Reminder_Recall,Female,NS,5.594405594,3.088556098
