"","Shock","Stress","Sex","Condition","ID","timepoint","percentage"
"1","h","ELS","Male","10","1","ext1_curve",66.66666667
"2","h","ELS","Male","10","1","ext2_curve",33.33333333
"3","h","ELS","Male","10","1","ext3_curve",0
"4","h","ELS","Male","10","1","ext4_curve",8.333333333
"5","h","ELS","Male","10","1","ext5_curve",41.66666667
"6","h","ELS","Male","10","2","ext1_curve",33.33333333
"7","h","ELS","Male","10","2","ext2_curve",41.66666667
"8","h","ELS","Male","10","2","ext3_curve",50
"9","h","ELS","Male","10","2","ext4_curve",16.66666667
"10","h","ELS","Male","10","2","ext5_curve",25
"11","h","NS","Male","10","3","ext1_curve",8.333333333
"12","h","NS","Male","10","3","ext2_curve",0
"13","h","NS","Male","10","3","ext3_curve",0
"14","h","NS","Male","10","3","ext4_curve",0
"15","h","NS","Male","10","3","ext5_curve",18.18181818
"16","h","NS","Male","10","4","ext1_curve",16.66666667
"17","h","NS","Male","10","4","ext2_curve",33.33333333
"18","h","NS","Male","10","4","ext3_curve",16.66666667
"19","h","NS","Male","10","4","ext4_curve",41.66666667
"20","h","NS","Male","10","4","ext5_curve",9.090909091
"21","h","ELS","Male","10","5","ext1_curve",66.66666667
"22","h","ELS","Male","10","5","ext2_curve",41.66666667
"23","h","ELS","Male","10","5","ext3_curve",33.33333333
"24","h","ELS","Male","10","5","ext4_curve",50
"25","h","ELS","Male","10","5","ext5_curve",41.66666667
"26","h","ELS","Male","10","6","ext1_curve",33.33333333
"27","h","ELS","Male","10","6","ext2_curve",33.33333333
"28","h","ELS","Male","10","6","ext3_curve",8.333333333
"29","h","ELS","Male","10","6","ext4_curve",8.333333333
"30","h","ELS","Male","10","6","ext5_curve",0
"31","h","NS","Male","10","7","ext1_curve",91.66666667
"32","h","NS","Male","10","7","ext2_curve",75
"33","h","NS","Male","10","7","ext3_curve",50
"34","h","NS","Male","10","7","ext4_curve",25
"35","h","NS","Male","10","7","ext5_curve",25
"36","h","NS","Male","10","8","ext1_curve",50
"37","h","NS","Male","10","8","ext2_curve",33.33333333
"38","h","NS","Male","10","8","ext3_curve",50
"39","h","NS","Male","10","8","ext4_curve",16.66666667
"40","h","NS","Male","10","8","ext5_curve",8.333333333
"41","h","ELS","Male","10","9","ext1_curve",41.66666667
"42","h","ELS","Male","10","9","ext2_curve",41.66666667
"43","h","ELS","Male","10","9","ext3_curve",41.66666667
"44","h","ELS","Male","10","9","ext4_curve",41.66666667
"45","h","ELS","Male","10","9","ext5_curve",50
